mag_X,mag_Y,mag_Z,ADC1_CH1,ADC1_CH2,ADC1_CH3,ADC1_CH4,ADC1_CH5,ADC1_CH6
0.0198,0.0198,0.0381,2.17,0.21,0.31,0.65,0.85,0.38
0.0198,0.0198,0.0381,1.71,1.06,0.17,0.32,1.16,0.27
0.0198,0.0198,0.0381,0.4,0.26,0.16,2.38,0.39,0.23
-67.5837,47.4693,116.3882,1.19,0.25,0.17,0.39,2.25,0.57
-37.9873,49.2943,125.3147,0.8,0.49,0.13,1.84,1.45,0.32
-26.7201,58.3795,148.4321,0.44,0.52,0.12,2.36,0.67,0.17
-35.2102,65.8381,166.1326,0.3,0.39,0.66,2.11,0.52,0.82
-70.7179,8.7877,138.5138,2.12,0.17,0.48,0.47,1.01,0.48
-53.4997,29.5766,128.9769,1.09,0.32,0.22,1.32,1.89,0.53
-53.4997,54.5708,189.4789,0.1,0.35,0.69,1.37,0.54,1.79
0.0198,0.0198,0.0381,0.35,0.27,0.78,1.18,2.07,0.45
0.0198,0.0198,0.0381,0.25,0.13,1.42,0.53,2.01,0.27
0.0198,0.0198,0.0381,0.4,1.5,1.71,0.28,0.7,0.41
0.0198,0.0198,0.0381,0.12,2.16,0.26,0.45,0.26,0.26
0.0198,0.0198,0.0381,0.92,1.99,0.26,0.32,0.25,0.63
0.0198,0.0198,0.0381,1.79,0.16,0.27,0.47,1.4,0.28
0.0198,0.0198,0.0381,0.53,2.01,0.18,0.35,0.88,0.08
0.0198,0.0198,0.0381,0.48,0.92,0.17,0.26,2.2,0.23
-52.0714,3.4714,152.8573,2.07,0.18,0.28,0.21,0.22,1.22
0.0198,0.0198,0.0381,1.29,1.01,0.25,0.28,1.81,0.3
-58.2208,13.7469,154.8409,1.54,0.41,0.32,0.19,1.72,0.34
-62.7832,30.013,130.9606,2.3,0.38,0.49,0.19,0.61,0.16
0.0198,0.0198,0.0381,1.73,0.21,0.39,0.6,1.45,0.31
0.0198,0.0198,0.0381,2.33,0.14,0.52,0.28,0.6,0.18
-61.0773,23.6255,136.9879,1.18,0.39,0.35,1.97,0.8,0.21
0.0198,0.0198,0.0381,0.48,0.45,0.27,2.36,0.25,0.26
0.0198,0.0198,0.0381,0.18,0.48,0.19,2.29,0.22,0.58
-48.8579,13.7469,126.3066,0.3,1.81,0.65,0.17,0.13,1.13
0.0198,0.0198,0.0381,0,0.04,0.91,1.59,0,1.35
0.0198,0.0198,0.0381,0.04,1.1,1.49,0.06,0,1.36
0.0198,0.0198,0.0381,0.71,0.01,0.16,1.97,0.03,1.05
0.0198,0.0198,0.0381,0.01,1,2.2,0.03,0.63,0.14
0.0198,0.0198,0.0381,2.14,0,0.05,0.19,0.01,1.13
0.0198,0.0198,0.0381,1.8,1.14,0.05,0.01,0.87,0.17
0.0198,0.0198,0.0381,0.23,0.19,0.1,0.23,2.39,0.05
-35.4086,26.9581,126.2303,0.66,0.17,0.1,1.6,0.01,1.54
0.0198,0.0198,0.0381,0.06,0.69,2.3,0.25,0.06,0.58
0.0198,0.0198,0.0381,0.12,0.72,2.29,0.16,0,0.6
0.0198,0.0198,0.0381,0.08,0.14,2.37,0.05,0.76,0.22
0.0198,0.0198,0.0381,0,0.18,1.1,1.02,1.9,0.12
0.0198,0.0198,0.0381,1.84,0.85,0.12,0.01,1.13,0.22
-82.5803,7.7562,151.9417,0.19,0.18,2.21,0.25,1.09,0.13
-67.3854,-0.3769,160.7919,0.23,0.62,1.49,0.01,1.62,0.13
-47.1916,2.1225,164.8356,0.27,0.44,1.22,0.08,2.07,0.16
-29.7353,17.7142,167.1244,0.27,0.48,1.16,0.19,2.06,0.16
-23.3875,46.7948,167.6585,0.16,1.18,1.16,0.35,1.73,0.13
-81.1917,25.5299,117.0748,0.71,0.14,0.12,1.63,0.38,1.2
-33.6629,76.2325,163.92,0.03,2.02,0.67,0.34,0.89,0.08
-55.3643,4.5823,123.8651,0.27,0.04,0.43,0.85,0.3,2.11
-61.355,90.8324,149.5766,1.2,1.86,0.4,0.14,0.23,0.56
-30.132,8.1132,141.5656,0.23,1.24,0.53,0.39,0.12,1.81
-87.2618,82.62,128.9006,1.16,0.88,0.26,0.01,0.31,1.86
