segment,anomaly,train,channel,sampling,duration,len,mean,var,std,kurtosis,skew,n_peaks,smooth10_n_peaks,smooth20_n_peaks,diff_peaks,diff2_peaks,diff_var,diff2_var,gaps_squared,len_weighted,var_div_duration,var_div_len
1,1,1,CADC0872,1,279,280,0.8533143500000004,349.428315570552,18.693001780627743,0.6311173662492293,0.5520522696354362,4,3,2,4,6,127.11755417075726,296.06660433502867,309,280,1.252431238604129,1.2479582698948286
2,1,1,CADC0872,1,476,477,-3.6393962662473798,647.6484614528283,25.44893831681055,-1.2436105409484075,0.42563226494501544,1,1,1,5,8,1.4893834768968182,3.0047524941705737,644,477,1.3606060114555216,1.357753587951422
3,1,1,CADC0872,1,594,595,11.707879512605043,559.287714097435,23.64926455722112,-0.28459255765001146,-0.8261874641934154,3,2,2,2,3,4.112280202789315,10.299180074673249,772,595,0.94156180824484,0.9399793514242605
4,1,1,CADC0872,1,271,272,0.8486808235294109,546.6023846614632,23.379529179636258,-0.8870884659002058,-0.13849795146794944,2,2,2,3,6,24.757597647001074,62.409845729623854,339,272,2.0169829692304915,2.009567590667144
5,0,0,CADC0872,1,255,257,10.58484607003891,527.9022783152659,22.97612409252844,-1.4843933372949993,-0.06015487817247709,1,1,1,78,87,0.554710136156453,0.7035422088489084,357,257,2.0702050130010425,2.0540944681527855
6,0,1,CADC0872,1,252,253,6.326025494071147,664.3179719118848,25.774366566646886,-1.3023085613490453,-0.17924011305953602,1,1,1,66,84,0.6430575230937015,0.7268033028148538,350,253,2.636182428221765,2.625762734829584
7,0,0,CADC0872,1,378,380,2.9907951973684206,384.37252690564605,19.60542085510143,-0.7363785554713211,-0.07829424959141429,1,1,1,111,127,0.3793821108523654,0.6807879125715738,528,380,1.0168585367874234,1.0115066497517002
8,1,1,CADC0872,1,399,400,1.5204373150000003,165.2298873352987,12.854177816387118,-0.11148149809543417,0.5987550414758037,3,3,2,1,2,19.89722057280419,59.46671994860804,535,400,0.4141099933215507,0.41307471833824677
9,1,1,CADC0872,1,513,514,0.4173000953307391,173.34014553863702,13.165870481614082,-0.8595242578461675,0.3059972421010181,1,1,1,4,2,1.1309735970453785,2.510246914573328,707,514,0.33789502054315207,0.33723763723470235
10,0,1,CADC0872,1,315,317,4.411687239747635,631.100611241738,25.121715929484953,-1.2167116352009528,-0.12817592870965547,1,1,1,97,104,0.5293624016340368,0.8428462406968081,441,317,2.0034940039420253,1.9908536632231482
11,0,1,CADC0872,1,229,230,-4.519542240000001,433.23061321283654,20.81419259094228,-1.2642493263381807,-0.23209084249298756,1,1,1,71,84,0.5909420092907242,0.8931564543910515,289,230,1.8918367389206836,1.8836113617949415
12,0,0,CADC0872,1,238,239,8.207475334476989,672.0664935050506,25.92424528322957,-1.4771013537511237,-0.04423761434892948,1,1,1,66,76,0.8337571557841642,1.0014874344090117,238,239,2.8238087962397085,2.811993696673852
13,1,0,CADC0872,1,229,230,-1.5955612826086962,608.6603089339599,24.671041910182065,-0.8126226927979392,0.389746070487303,1,1,1,1,1,9.853793080883765,19.1996521469694,229,230,2.657905279187598,2.6463491692780865
14,0,1,CADC0872,1,221,222,6.963036954954955,660.0910775784001,25.69223769114711,-1.3099544300386137,-0.16176704299634545,1,1,1,67,77,0.8710885684176065,1.0171315610337592,221,222,2.986837455105883,2.9733832323351357
15,1,1,CADC0872,1,200,201,-7.767890676616917,145.98433919622124,12.082397907543902,-1.376419358546606,-0.14665425077536115,8,2,1,21,32,4.03551653141992,9.654801934071312,200,201,0.7299216959811062,0.7262902447573196
16,0,1,CADC0872,1,249,250,2.5603076736000006,561.3340482840471,23.692489280023892,-1.4583843794155242,-0.03940072833747554,1,1,1,67,66,2.0902875287367304,4.507630022842568,249,250,2.254353607566454,2.2453361931361884
17,0,1,CADC0872,1,238,239,2.181008912133891,340.6273747636508,18.45609316089542,-1.0120805740067564,-0.3630823200201357,1,1,1,54,64,1.6851626846655487,3.8659136264023832,238,239,1.4312074569901294,1.4252191412705053
18,0,0,CADC0872,1,213,214,-1.1042377383177568,243.5482513359998,15.606032530274945,-1.0863347541610358,-0.32154068489461274,1,1,1,47,51,1.5541308586841698,3.651738322983826,213,214,1.1434190203568066,1.138075940822429
19,1,1,CADC0872,1,202,203,-5.584398348768472,192.62978945958082,13.879113424840249,-1.2649221065817802,-0.1468441553509796,2,1,1,29,40,2.3599440551902213,5.479548364194245,202,203,0.9536128191068357,0.9489152190127134
20,1,0,CADC0872,1,267,268,3.992460474626865,538.2671391492646,23.200584888085572,-1.0296607520157788,-0.31204672553459334,1,1,1,18,19,5.083800741327839,10.296994718666543,267,268,2.015981794566534,2.0084594744375543
21,1,0,CADC0872,1,281,282,5.289524934397163,422.6767056007609,20.55910274308587,-0.6099811249142237,-0.5351140290160574,3,2,1,1,2,22.744860842710054,66.84322749233183,281,282,1.5041875644155192,1.498853565960145
22,1,1,CADC0872,1,183,184,-5.040148853641304,229.579739302551,15.151888968130375,0.5374727443578151,-1.5093964027183444,6,1,1,14,15,7.51732116871194,15.725877456716937,183,184,1.254534094549459,1.2477159744703858
23,0,1,CADC0872,1,243,244,2.3466111065573774,890.8867435407418,29.84772593583541,-1.487808931382656,0.0022501749039919162,1,1,1,47,53,3.0884833911403047,6.299152873774196,243,244,3.6662005907026414,3.651175178445663
24,1,1,CADC0872,1,201,202,-8.968957113861387,405.64902046655845,20.140730385627986,-1.3019901857550658,-0.18113608404320078,1,1,1,12,13,6.703092841414198,13.079134767818363,201,202,2.0181543306793954,2.00816346765623
25,0,1,CADC0872,1,208,209,0.9865551913875611,694.1012221737459,26.34580084517732,-1.4755890643097807,-0.03125511477943603,1,1,1,50,61,2.092547200871095,3.5713367078921037,208,209,3.3370251066045475,3.32105847930022
26,0,1,CADC0872,1,210,211,2.9755845450236964,837.0861073143552,28.932440396799493,-1.4931356400078035,-0.00934634025469581,1,1,1,42,53,2.4948722929977203,4.621311987082181,210,211,3.9861243205445485,3.9672327360869915
27,0,1,CADC0872,1,202,203,7.01065757635468,501.3480960466015,22.39080382761194,-0.8336900319426261,-0.47895679579264083,2,1,1,36,38,3.2894368618308616,7.773531738830661,202,203,2.481921267557433,2.469695054416756
28,0,0,CADC0872,1,181,182,-0.47432315384615514,228.2520978600225,15.108014358611872,-0.7797241551683602,-0.6228378324931239,1,1,1,38,47,1.2148935383270492,2.8585815049019017,181,182,1.2610613141437708,1.2541324058242995
29,1,1,CADC0872,1,225,226,2.5735809424778764,399.1598831456679,19.97898603897775,-1.2579965834416336,-0.18486716802377448,4,2,1,13,27,6.237984693873817,13.737721801598457,293,226,1.7740439250918574,1.7661941732109199
30,0,0,CADC0872,1,194,195,-2.1828606729743587,123.41850460009114,11.109388128969622,-0.8880815455825011,-0.3856325215567751,3,1,1,45,48,2.401660562436651,6.975553311374876,246,195,0.6361778587633564,0.6329154082055956
31,1,0,CADC0872,1,197,199,3.9861305979899493,142.49355135748183,11.937066279345267,-1.0926725484230786,0.3714784956999055,1,1,1,19,16,3.387310865985416,7.259268003026521,237,199,0.7233175195811261,0.7160479967712655
32,0,1,CADC0872,1,202,203,0.6426002753694582,228.83340565612102,15.12724051689934,-1.2901575129495169,-0.1535840082192604,1,1,1,55,61,1.8863570726148884,5.296148517595596,264,203,1.1328386418619851,1.127258155941483
33,0,1,CADC0872,1,229,230,2.1019733434782606,364.54762997174186,19.093130439289986,-1.4942384421491512,0.01984429701803169,1,1,1,64,64,2.3320675067498904,6.430783995253759,289,230,1.5919110479115366,1.5849896955293123
34,0,1,CADC0872,1,185,186,-7.543538026881721,87.46723383396741,9.352391877694572,-1.1978992609144303,-0.20818055382919676,3,1,1,41,44,1.5755302193307805,4.361466225010512,253,186,0.472795858561986,0.4702539453439108
35,0,0,CADC0872,1,226,227,6.124206829515418,645.8078624865879,25.412749998506417,-1.1283898004965605,-0.260725797263403,1,1,1,57,73,1.8920363921852594,4.395055610008221,306,227,2.8575569136574686,2.844968557209638
36,0,1,CADC0872,1,212,214,3.7435944813084108,640.7314864300141,25.312674422707968,-1.1666609687637206,-0.26317816762846663,1,1,1,51,59,1.5349787323895154,3.1348538200671534,296,214,3.022318332217048,2.994072366495393
37,0,1,CADC0872,1,191,193,6.116210595854922,708.3659690789164,26.61514548295606,-1.1530599379094728,-0.2862722087532433,1,1,1,31,38,1.791267707109719,3.0859981469894255,265,193,3.708722351198515,3.670289995227546
38,0,1,CADC0872,1,196,197,0.01797529949238665,773.9083804899865,27.81920884011597,-1.485069459084988,-0.0666227459606804,1,1,1,44,55,1.4800673793906631,2.055843066294227,272,197,3.948512145357074,3.9284689364973935
39,0,1,CADC0872,1,200,202,-4.013059732673267,703.062389273444,26.515323669030405,-1.5032768274517874,0.04228171716515398,1,1,1,53,63,2.0956523023503575,4.6192610552516,280,202,3.5153119463672198,3.480506877591307
40,0,1,CADC0872,1,181,182,-5.132656550000001,301.7189325157163,17.37005850639877,-1.071967487739729,-0.27043835214809536,2,1,1,41,48,4.688929118648004,12.691291607019425,247,182,1.6669554282636259,1.6577963325039358
41,0,1,CADC0872,1,198,200,4.06904122,444.51811298617963,21.083598198272032,-1.4026988422537554,-0.1200316282187603,1,1,1,34,40,2.541526043027536,6.39152218713094,264,200,2.245040974677675,2.2225905649308983
42,0,0,CADC0872,1,192,193,4.740144067357513,273.36562420275044,16.533772231488808,-0.7344110338603702,-0.5283865011298792,2,1,1,43,54,2.576367494799028,6.919488292004613,244,193,1.4237792927226585,1.416402197941712
43,0,0,CADC0872,1,173,174,-2.702156040229885,120.20044668510907,10.963596430237164,-0.5898995336961526,-0.6651712810061888,2,1,1,47,58,2.5786907004658177,7.2803666903479565,215,174,0.6948002698561218,0.6908071648569487
44,0,1,CADC0872,1,204,206,0.7183812135922327,311.0488885269024,17.63657814109365,-1.4721426388551366,-0.015080378461169195,2,1,1,34,41,2.7770370187511983,7.85309143882054,268,206,1.5247494535632469,1.5099460608102058
45,0,1,CADC0872,1,195,196,-0.13124625000000045,243.84856653462865,15.61565133238536,-1.4229913972403703,-0.06202995007749861,2,1,1,41,36,2.397146265761768,6.25370958954462,227,196,1.250505469408352,1.244125339462391
46,0,1,CADC0872,1,185,186,6.967145411827957,238.19755769149714,15.433650173938021,-1.4296845558940814,-0.1021904956909831,3,1,1,40,52,2.35588358145353,4.935010106102846,185,186,1.2875543658999846,1.280632030599447
47,0,1,CADC0872,1,184,185,-3.4006216,209.32254182656862,14.467983336545858,-0.9771111583624026,-0.3765486249078455,1,1,1,44,53,0.9644726418815068,1.8561686583588748,184,185,1.1376225099270034,1.131473199062533
48,0,1,CADC0872,1,233,234,-1.4488028452991455,603.289004412856,24.56194219545466,-1.4895453009880302,0.015771578736965945,1,1,1,55,63,1.6012962324056477,3.132799937927993,233,234,2.5892231949049616,2.5781581385164785
49,0,1,CADC0872,1,185,186,-6.5236375967741935,250.08550452398302,15.814091960146905,-0.6905052180708893,-0.7442022222449439,2,1,1,27,35,1.8235065788138147,4.373566220842749,185,186,1.3518135379674758,1.3445457232472204
50,0,0,CADC0872,1,197,198,5.088012637373737,585.7931368347818,24.203163777382116,-0.730640219116145,-0.5972663331352034,1,1,1,43,52,2.053498038814643,3.8429481884193466,197,198,2.9735692225115824,2.9585511961352613
51,1,1,CADC0872,1,206,207,3.251304879227055,837.5966271520164,28.941261671738093,-1.311804827357331,-0.09882215582433704,1,1,1,18,26,5.00259395646042,10.248304736342437,206,207,4.066003044427264,4.046360517642591
52,1,1,CADC0872,1,176,167,-1.8754152574850298,569.7570098170464,23.86958336077625,-1.2205775116636857,-0.2947699527317905,1,1,1,33,43,2.505382759431736,5.0102782481380626,286,167,3.2372557375968545,3.411718621658961
53,0,1,CADC0872,1,193,194,-3.7372765567010315,816.6443576989558,28.576990004179162,-1.475869375163819,-0.016484793208441227,1,1,1,45,62,3.1669332527812313,6.061745467709311,193,194,4.231317915538631,4.209506998448226
54,0,0,CADC0872,1,180,181,0.20111364640883958,772.7336865109866,27.798087821125154,-1.4546530767234753,-0.07037084188902616,1,1,1,39,42,2.5048518637017065,4.1362745383274095,180,181,4.292964925061036,4.269246886801031
55,0,1,CADC0872,1,173,174,3.6013823879310354,511.93069245746227,22.6258854513467,-1.0730512326690205,-0.3433641113262409,1,1,1,45,50,2.5160701738773423,5.522222029012156,173,174,2.9591369506211693,2.942130416422197
56,0,1,CADC0872,1,190,191,4.680034701570681,441.51578223804484,21.012276940827828,-1.2173432122520345,-0.19064202963958773,1,1,1,29,45,2.6514477129924963,5.42369748975447,190,191,2.323767274937078,2.3116009541258893
57,1,1,CADC0872,1,190,191,3.63203292670157,396.90255818675723,19.922413462900455,-1.2363885717823315,-0.213262180631929,2,1,1,16,29,4.264999474465776,8.612306281625525,190,191,2.08896083256188,2.078023864852132
58,0,1,CADC0872,1,158,159,-4.313484075471697,97.43291080073391,9.870811050807015,-1.3936797186758505,0.004302102627924853,2,1,1,28,36,2.0130440020890226,4.249245681800115,158,159,0.6166639924097083,0.6127856025203391
59,1,1,CADC0872,1,194,195,2.892919692307692,212.81915687004408,14.5883226201659,-1.3743775799641453,-0.06971694706498631,2,2,1,4,15,3.1113724166566503,6.1669652343033965,194,195,1.0970059632476499,1.0913802916412516
60,1,1,CADC0872,1,192,193,2.5781327461139893,254.57916237267497,15.955537044320225,-1.5101903294501011,-0.028232370272401244,1,1,1,27,26,1.3298934947435106,2.4942697544929278,192,193,1.3259331373576821,1.3190630174749998
61,0,0,CADC0872,1,184,185,3.033028583783784,279.5995515021754,16.721230561838905,-1.4817374727215178,-0.05701385340908702,1,1,1,51,57,0.6821750112247421,1.0305709339668379,184,185,1.5195627799031273,1.511348927038786
62,1,1,CADC0872,1,172,173,-4.602417971098267,182.69593844508822,13.51650614785819,-1.2990520296010803,-0.10252381309968861,2,2,1,1,5,4.238231915108686,6.8989228050175075,208,173,1.0621856886342338,1.0560458869658278
63,0,0,CADC0872,1,206,208,0.7758007211538462,631.1851535680609,25.12339852742978,-1.4288886955001552,-0.03520664609585233,1,1,1,58,71,0.8404117628554486,0.826210157880319,288,208,3.064005599844956,3.034544007538754
64,0,0,CADC0872,1,185,186,2.2981443924731173,482.8665429025704,21.97422451197244,-1.0283408368296694,-0.36938120144458275,1,1,1,54,64,0.7461330539423792,0.8041403402180731,259,186,2.610089421094975,2.596056682271884
65,0,1,CADC0872,1,189,190,7.017154042105263,761.6527140263472,27.598056345082476,-1.073900513715334,-0.3149010869319036,1,1,1,58,68,1.0784858541917024,1.1094434853895163,265,190,4.0299085398219425,4.008698494875512
66,0,0,CADC0872,1,195,196,3.75917206122449,964.5156750499033,31.056652669756655,-1.4953999102641058,-0.05004057323650789,1,1,1,54,67,1.232642979089148,0.7096333049216247,273,196,4.946234231025145,4.920998342091344
67,0,1,CADC0872,1,178,180,-3.8491299611111116,664.05611398153,25.769286252853995,-1.4956430025912681,-0.003686754541002325,1,1,1,48,56,1.086661011723246,0.7683594323691484,248,180,3.7306523257389324,3.689200633230722
68,0,1,CADC0872,1,183,185,-5.100298848648649,518.8734516159003,22.778793901695064,-1.4160961026825547,-0.06422845657799194,1,1,1,53,59,0.8803084129211661,0.8900904496353856,255,185,2.8353740525459035,2.8047213600859475
69,0,1,CADC0872,1,183,185,2.671946816216216,492.773358818981,22.19849902175778,-1.4689595707856733,-0.0561836788134266,1,1,1,58,67,0.8981383545909288,1.0637560706833,253,185,2.6927505946392407,2.663639777399897
70,0,1,CADC0872,1,170,172,3.1825768546511615,267.26509355641105,16.348244357006994,-1.0258049602082422,-0.42356975506290695,1,1,1,52,60,0.5422247932519426,0.7784233211330315,234,172,1.572147609155359,1.5538668230023898
71,1,1,CADC0872,1,182,183,2.8933920103825144,177.31739285995891,13.316057707142866,-1.104090427196581,-0.27353717106110254,1,1,1,44,52,0.5436368282674422,0.9315069785279787,242,183,0.9742713893404336,0.9689475019669886
72,0,0,CADC0872,1,187,188,1.5482294946808512,235.33914099406084,15.340767288309305,-1.4463689695446542,-0.012974506391385381,1,1,1,61,65,0.5548524560768718,0.8476325002096806,197,188,1.2584980801821435,1.2518039414577704
73,0,1,CADC0872,1,162,163,-4.105724748466258,93.05489476574432,9.646496502137152,-1.464308477871467,-0.025162626291475674,1,1,1,48,55,0.39829594881920993,0.6973088195415394,162,163,0.5744129306527427,0.5708889249432167
74,1,1,CADC0872,1,190,191,0.5308426963350783,219.22667955327398,14.806305398487293,-1.2258996184457769,0.10341480495376772,1,1,1,13,16,2.330147984264058,3.7735856429675922,190,191,1.1538246292277579,1.1477836625825864
75,0,0,CADC0872,1,188,189,2.7385835629629622,243.63128236749432,15.608692525881029,-1.4228862421816677,-0.07848381111238352,1,1,1,54,61,0.6157478321882545,0.9692337487614107,188,189,1.295911076422842,1.2890544040608165
