anomaly,train,duration,mean,var,kurtosis,skew,n_peaks,smooth10_n_peaks,smooth20_n_peaks,diff_peaks,diff_var,gaps_squared
1,1,279,8.533143499999998e-07,3.4942831557055196e-10,0.6311173662492302,0.5520522696354365,4,3,2,4,1.2711755417075724e-10,309
1,1,476,-3.639396266247381e-06,6.476484614528283e-10,-1.2436105409484077,0.42563226494501544,1,1,1,5,1.4893834768968183e-12,644
1,1,594,1.1707879512605042e-05,5.59287714097435e-10,-0.28459255765001235,-0.8261874641934153,3,2,2,2,4.1122802027893165e-12,772
1,1,271,8.486808235294126e-07,5.466023846614631e-10,-0.8870884659002054,-0.13849795146794935,2,2,2,3,2.4757597647001087e-11,339
0,0,255,1.0584846070038911e-05,5.27902278315266e-10,-1.4843933372949996,-0.060154878172477215,1,1,1,78,5.547101361564531e-13,357
0,1,252,6.326025494071145e-06,6.643179719118847e-10,-1.3023085613490446,-0.179240113059536,1,1,1,66,6.430575230937018e-13,350
0,0,378,2.9907951973684204e-06,3.8437252690564615e-10,-0.736378555471322,-0.0782942495914141,1,1,1,111,3.793821108523652e-13,528
1,1,399,1.5204373149999998e-06,1.652298873352987e-10,-0.11148149809543373,0.5987550414758036,3,3,2,1,1.989722057280419e-11,535
1,1,513,4.1730009533073935e-07,1.73340145538637e-10,-0.8595242578461675,0.30599724210101786,1,1,1,4,1.1309735970453785e-12,707
0,1,315,4.411687239747634e-06,6.31100611241738e-10,-1.2167116352009533,-0.1281759287096554,1,1,1,97,5.293624016340368e-13,441
0,1,229,-4.5195422400000004e-06,4.332306132128366e-10,-1.2642493263381807,-0.23209084249298717,1,1,1,71,5.909420092907242e-13,289
0,0,238,8.207475334476986e-06,6.720664935050506e-10,-1.4771013537511233,-0.04423761434892896,1,1,1,66,8.337571557841643e-13,238
1,0,229,-1.595561282608696e-06,6.0866030893396e-10,-0.812622692797941,0.38974607048730264,1,1,1,1,9.853793080883765e-12,229
0,1,221,6.963036954954955e-06,6.600910775784002e-10,-1.3099544300386137,-0.16176704299634542,1,1,1,67,8.710885684176065e-13,221
1,1,200,-7.767890676616916e-06,1.4598433919622125e-10,-1.3764193585466062,-0.14665425077536115,8,2,1,21,4.0355165314199206e-12,200
0,1,249,2.560307673600001e-06,5.613340482840469e-10,-1.4583843794155233,-0.039400728337475585,1,1,1,67,2.09028752873673e-12,249
0,1,238,2.181008912133891e-06,3.4062737476365075e-10,-1.0120805740067558,-0.363082320020136,1,1,1,54,1.6851626846655491e-12,238
0,0,213,-1.104237738317757e-06,2.435482513359998e-10,-1.0863347541610358,-0.32154068489461285,1,1,1,47,1.55413085868417e-12,213
1,1,202,-5.584398348768473e-06,1.9262978945958084e-10,-1.2649221065817802,-0.14684415535097922,2,1,1,29,2.3599440551902203e-12,202
1,0,267,3.992460474626865e-06,5.382671391492646e-10,-1.02966075201578,-0.31204672553459334,1,1,1,18,5.083800741327838e-12,267
1,0,281,5.2895249343971635e-06,4.2267670560076084e-10,-0.6099811249142237,-0.5351140290160574,3,2,1,1,2.2744860842710054e-11,281
1,1,183,-5.040148853641304e-06,2.2957973930255104e-10,0.5374727443578138,-1.5093964027183435,6,1,1,14,7.517321168711943e-12,183
0,1,243,2.346611106557377e-06,8.908867435407416e-10,-1.4878089313826552,0.0022501749039919904,1,1,1,47,3.0884833911403045e-12,243
1,1,201,-8.968957113861387e-06,4.0564902046655837e-10,-1.3019901857550655,-0.1811360840432008,1,1,1,12,6.703092841414196e-12,201
0,1,208,9.865551913875601e-07,6.941012221737458e-10,-1.4755890643097807,-0.03125511477943608,1,1,1,50,2.0925472008710955e-12,208
0,1,210,2.9755845450236967e-06,8.370861073143552e-10,-1.4931356400078037,-0.009346340254696151,1,1,1,42,2.4948722929977206e-12,210
0,1,202,7.010657576354678e-06,5.013480960466014e-10,-0.8336900319426253,-0.47895679579264056,2,1,1,36,3.2894368618308617e-12,202
0,0,181,-4.743231538461536e-07,2.2825209786002245e-10,-0.7797241551683598,-0.6228378324931242,1,1,1,38,1.214893538327048e-12,181
1,1,225,2.5735809424778764e-06,3.9915988314566786e-10,-1.2579965834416333,-0.18486716802377479,4,2,1,13,6.237984693873817e-12,293
0,0,194,-2.1828606729743593e-06,1.2341850460009111e-10,-0.8880815455825006,-0.3856325215567748,3,1,1,45,2.4016605624366516e-12,246
1,0,197,3.98613059798995e-06,1.4249355135748187e-10,-1.0926725484230801,0.3714784956999048,1,1,1,19,3.387310865985416e-12,237
0,1,202,6.426002753694582e-07,2.2883340565612095e-10,-1.2901575129495155,-0.1535840082192607,1,1,1,55,1.886357072614889e-12,264
0,1,229,2.1019733434782606e-06,3.645476299717419e-10,-1.4942384421491517,0.01984429701803154,1,1,1,64,2.3320675067498907e-12,289
0,1,185,-7.543538026881721e-06,8.74672338339674e-11,-1.1978992609144303,-0.2081805538291964,3,1,1,41,1.5755302193307805e-12,253
0,0,226,6.124206829515419e-06,6.458078624865879e-10,-1.1283898004965605,-0.2607257972634032,1,1,1,57,1.8920363921852593e-12,306
0,1,212,3.7435944813084117e-06,6.407314864300141e-10,-1.1666609687637206,-0.2631781676284668,1,1,1,51,1.5349787323895149e-12,296
0,1,191,6.116210595854922e-06,7.083659690789163e-10,-1.153059937909473,-0.2862722087532431,1,1,1,31,1.7912677071097191e-12,265
0,1,196,1.7975299492386502e-08,7.739083804899865e-10,-1.4850694590849882,-0.06662274596068067,1,1,1,44,1.4800673793906628e-12,272
0,1,200,-4.013059732673268e-06,7.030623892734439e-10,-1.5032768274517874,0.04228171716515379,1,1,1,53,2.0956523023503574e-12,280
0,1,181,-5.13265655e-06,3.017189325157163e-10,-1.0719674877397287,-0.27043835214809564,2,1,1,41,4.688929118648005e-12,247
0,1,198,4.0690412199999995e-06,4.445181129861796e-10,-1.4026988422537556,-0.12003162821876029,1,1,1,34,2.5415260430275344e-12,264
0,0,192,4.740144067357513e-06,2.733656242027504e-10,-0.7344110338603698,-0.5283865011298791,2,1,1,43,2.5763674947990272e-12,244
0,0,173,-2.7021560402298847e-06,1.2020044668510905e-10,-0.5898995336961526,-0.6651712810061887,2,1,1,47,2.578690700465817e-12,215
0,1,204,7.183812135922328e-07,3.1104888852690237e-10,-1.4721426388551364,-0.01508037846116942,2,1,1,34,2.7770370187511977e-12,268
0,1,195,-1.3124625000000007e-07,2.438485665346287e-10,-1.4229913972403705,-0.062029950077498355,2,1,1,41,2.3971462657617682e-12,227
0,1,185,6.967145411827957e-06,2.381975576914971e-10,-1.429684555894081,-0.10219049569098325,3,1,1,40,2.3558835814535306e-12,185
0,1,184,-3.4006216e-06,2.0932254182656862e-10,-0.9771111583624026,-0.37654862490784563,1,1,1,44,9.644726418815068e-13,184
0,1,233,-1.4488028452991454e-06,6.032890044128559e-10,-1.4895453009880302,0.015771578736965716,1,1,1,55,1.6012962324056471e-12,233
0,1,185,-6.523637596774194e-06,2.5008550452398304e-10,-0.6905052180708902,-0.7442022222449438,2,1,1,27,1.8235065788138158e-12,185
0,0,197,5.0880126373737374e-06,5.857931368347817e-10,-0.730640219116145,-0.5972663331352035,1,1,1,43,2.053498038814643e-12,197
1,1,206,3.2513048792270545e-06,8.375966271520162e-10,-1.3118048273573302,-0.09882215582433677,1,1,1,18,5.0025939564604206e-12,206
1,1,176,-1.8754152574850304e-06,5.697570098170464e-10,-1.2205775116636852,-0.29476995273179046,1,1,1,33,2.505382759431736e-12,286
